Dataset,SCC_Index,SCC_Size,Vertices,Time_ms,DFS_Visits,Edges_Explored,Stack_Pops
tasks_large_3,0,1,[49],0.1775,50,150,50
tasks_large_3,1,1,[48],,,,
tasks_large_3,2,1,[47],,,,
tasks_large_3,3,1,[46],,,,
tasks_large_3,4,1,[45],,,,
tasks_large_3,5,1,[42],,,,
tasks_large_3,6,1,[44],,,,
tasks_large_3,7,1,[43],,,,
tasks_large_3,8,1,[41],,,,
tasks_large_3,9,1,[38],,,,
tasks_large_3,10,1,[33],,,,
tasks_large_3,11,1,[36],,,,
tasks_large_3,12,1,[29],,,,
tasks_large_3,13,1,[14],,,,
tasks_large_3,14,1,[23],,,,
tasks_large_3,15,1,[39],,,,
tasks_large_3,16,1,[24],,,,
tasks_large_3,17,1,[7],,,,
tasks_large_3,18,1,[31],,,,
tasks_large_3,19,1,[32],,,,
tasks_large_3,20,1,[40],,,,
tasks_large_3,21,1,[37],,,,
tasks_large_3,22,1,[35],,,,
tasks_large_3,23,1,[17],,,,
tasks_large_3,24,1,[16],,,,
tasks_large_3,25,1,[0],,,,
tasks_large_3,26,1,[1],,,,
tasks_large_3,27,1,[34],,,,
tasks_large_3,28,1,[30],,,,
tasks_large_3,29,1,[28],,,,
tasks_large_3,30,1,[22],,,,
tasks_large_3,31,1,[2],,,,
tasks_large_3,32,1,[27],,,,
tasks_large_3,33,1,[15],,,,
tasks_large_3,34,1,[20],,,,
tasks_large_3,35,1,[10],,,,
tasks_large_3,36,1,[3],,,,
tasks_large_3,37,1,[25],,,,
tasks_large_3,38,1,[19],,,,
tasks_large_3,39,1,[18],,,,
tasks_large_3,40,1,[6],,,,
tasks_large_3,41,1,[4],,,,
tasks_large_3,42,1,[12],,,,
tasks_large_3,43,1,[5],,,,
tasks_large_3,44,1,[8],,,,
tasks_large_3,45,1,[9],,,,
tasks_large_3,46,1,[11],,,,
tasks_large_3,47,1,[13],,,,
tasks_large_3,48,1,[21],,,,
tasks_large_3,49,1,[26],,,,
