Dataset,SCC_Index,SCC_Size,Vertices,Time_ms,DFS_Visits,Edges_Explored,Stack_Pops
tasks_medium_3,0,1,[17],0.034958,18,45,18
tasks_medium_3,1,1,[15],,,,
tasks_medium_3,2,1,[13],,,,
tasks_medium_3,3,1,[11],,,,
tasks_medium_3,4,1,[9],,,,
tasks_medium_3,5,1,[16],,,,
tasks_medium_3,6,1,[14],,,,
tasks_medium_3,7,1,[12],,,,
tasks_medium_3,8,1,[6],,,,
tasks_medium_3,9,1,[10],,,,
tasks_medium_3,10,1,[7],,,,
tasks_medium_3,11,1,[3],,,,
tasks_medium_3,12,1,[0],,,,
tasks_medium_3,13,1,[8],,,,
tasks_medium_3,14,1,[1],,,,
tasks_medium_3,15,1,[2],,,,
tasks_medium_3,16,1,[4],,,,
tasks_medium_3,17,1,[5],,,,
